p,d,q,seasonal_order,aic,status,error
3,0,6,"(1, 0, 1, 24)",15131.7452715878,ok,
6,0,6,"(1, 0, 1, 24)",15136.964649014244,ok,
0,0,6,"(1, 0, 1, 24)",15137.756218122311,ok,
4,0,6,"(1, 0, 1, 24)",15138.28082907927,ok,
5,0,6,"(1, 0, 1, 24)",15139.223108843491,ok,
1,0,6,"(1, 0, 1, 24)",15139.776678919623,ok,
2,0,6,"(1, 0, 1, 24)",15140.113584930616,ok,
6,0,0,"(1, 0, 1, 24)",15142.160032889173,ok,
1,1,6,"(1, 0, 1, 24)",15149.549065803923,ok,
5,1,6,"(1, 0, 1, 24)",15149.677782122475,ok,
0,1,6,"(1, 0, 1, 24)",15152.4369849559,ok,
5,0,0,"(1, 0, 1, 24)",15152.971816594341,ok,
6,0,1,"(1, 0, 1, 24)",15155.161798161338,ok,
6,0,2,"(1, 0, 1, 24)",15156.063856818502,ok,
6,1,6,"(1, 0, 1, 24)",15156.101331609754,ok,
4,1,6,"(1, 0, 1, 24)",15156.284571522276,ok,
3,0,5,"(1, 0, 1, 24)",15156.59105118474,ok,
0,0,5,"(1, 0, 1, 24)",15157.307726162315,ok,
2,0,5,"(1, 0, 1, 24)",15158.467727246873,ok,
1,0,5,"(1, 0, 1, 24)",15159.583323643334,ok,
2,1,6,"(1, 0, 1, 24)",15161.478240009135,ok,
3,1,6,"(1, 0, 1, 24)",15163.076369030834,ok,
4,0,5,"(1, 0, 1, 24)",15163.878784288467,ok,
5,0,5,"(1, 0, 1, 24)",15164.519085792272,ok,
6,0,4,"(1, 0, 1, 24)",15165.009764408762,ok,
4,0,0,"(1, 0, 1, 24)",15165.162999809396,ok,
1,0,3,"(1, 0, 1, 24)",15166.164717070445,ok,
5,0,1,"(1, 0, 1, 24)",15167.216428815665,ok,
1,1,5,"(1, 0, 1, 24)",15167.85681179898,ok,
6,0,5,"(1, 0, 1, 24)",15168.251181029462,ok,
2,1,5,"(1, 0, 1, 24)",15168.503096277957,ok,
6,1,1,"(1, 0, 1, 24)",15169.39403398754,ok,
2,0,4,"(1, 0, 1, 24)",15169.5637371364,ok,
4,1,5,"(1, 0, 1, 24)",15169.800037370227,ok,
2,0,3,"(1, 0, 1, 24)",15169.85951829383,ok,
3,0,4,"(1, 0, 1, 24)",15170.636537035953,ok,
3,1,5,"(1, 0, 1, 24)",15171.084889071155,ok,
1,0,4,"(1, 0, 1, 24)",15171.230768475456,ok,
0,1,5,"(1, 0, 1, 24)",15172.338760961295,ok,
4,0,4,"(1, 0, 1, 24)",15173.528454647743,ok,
0,1,4,"(1, 0, 1, 24)",15175.151110029952,ok,
5,1,5,"(1, 0, 1, 24)",15175.236223101372,ok,
6,1,2,"(1, 0, 1, 24)",15175.55696677471,ok,
2,1,4,"(1, 0, 1, 24)",15177.117214865797,ok,
0,0,4,"(1, 0, 1, 24)",15177.33985659542,ok,
4,1,1,"(1, 0, 1, 24)",15178.103412308801,ok,
6,1,5,"(1, 0, 1, 24)",15179.392363330302,ok,
3,0,0,"(1, 0, 1, 24)",15179.42692211182,ok,
5,0,2,"(1, 0, 1, 24)",15179.478742815147,ok,
4,0,1,"(1, 0, 1, 24)",15179.688011285887,ok,
5,0,4,"(1, 0, 1, 24)",15179.833013306848,ok,
1,0,2,"(1, 0, 1, 24)",15180.60504747488,ok,
3,1,4,"(1, 0, 1, 24)",15181.925958796914,ok,
1,1,4,"(1, 0, 1, 24)",15182.707761606778,ok,
5,1,1,"(1, 0, 1, 24)",15183.177299519939,ok,
4,1,4,"(1, 0, 1, 24)",15184.436777044299,ok,
3,0,3,"(1, 0, 1, 24)",15184.839201471015,ok,
5,1,2,"(1, 0, 1, 24)",15187.287925126984,ok,
5,1,4,"(1, 0, 1, 24)",15187.44035465529,ok,
5,1,3,"(1, 0, 1, 24)",15187.559901741768,ok,
4,0,2,"(1, 0, 1, 24)",15187.830044712977,ok,
6,1,4,"(1, 0, 1, 24)",15191.126468979943,ok,
2,0,0,"(1, 0, 1, 24)",15191.273278881352,ok,
0,1,3,"(1, 0, 1, 24)",15191.949955648895,ok,
1,0,1,"(1, 0, 1, 24)",15194.25000708278,ok,
2,1,3,"(1, 0, 1, 24)",15194.710037493956,ok,
3,0,1,"(1, 0, 1, 24)",15195.14567478718,ok,
1,1,3,"(1, 0, 1, 24)",15195.710005277335,ok,
6,1,3,"(1, 0, 1, 24)",15195.821997327039,ok,
6,2,6,"(1, 0, 1, 24)",15195.910112065118,ok,
2,0,2,"(1, 0, 1, 24)",15196.161257367192,ok,
2,0,1,"(1, 0, 1, 24)",15198.058963683707,ok,
3,0,2,"(1, 0, 1, 24)",15198.70759155996,ok,
3,1,3,"(1, 0, 1, 24)",15198.827366707552,ok,
4,1,2,"(1, 0, 1, 24)",15199.852268424176,ok,
3,1,1,"(1, 0, 1, 24)",15205.23365691366,ok,
4,1,3,"(1, 0, 1, 24)",15205.967127093569,ok,
6,1,0,"(1, 0, 1, 24)",15206.714488323003,ok,
2,1,2,"(1, 0, 1, 24)",15206.776290218695,ok,
0,0,3,"(1, 0, 1, 24)",15206.959239020587,ok,
3,1,2,"(1, 0, 1, 24)",15211.380569076542,ok,
1,1,2,"(1, 0, 1, 24)",15211.793562849398,ok,
0,2,6,"(1, 0, 1, 24)",15220.373732015772,ok,
2,1,1,"(1, 0, 1, 24)",15220.386556557756,ok,
4,2,6,"(1, 0, 1, 24)",15221.430993072447,ok,
1,2,6,"(1, 0, 1, 24)",15221.515150355905,ok,
1,1,1,"(1, 0, 1, 24)",15221.962041915725,ok,
5,2,6,"(1, 0, 1, 24)",15223.893816498032,ok,
5,1,0,"(1, 0, 1, 24)",15226.711503577073,ok,
3,2,6,"(1, 0, 1, 24)",15227.100420444945,ok,
6,2,1,"(1, 0, 1, 24)",15227.932557212775,ok,
2,2,6,"(1, 0, 1, 24)",15228.895220714912,ok,
4,0,3,"(1, 0, 1, 24)",15239.162920975657,ok,
4,1,0,"(1, 0, 1, 24)",15239.677362326007,ok,
0,0,2,"(1, 0, 1, 24)",15245.400625056338,ok,
0,1,2,"(1, 0, 1, 24)",15245.515990060627,ok,
2,2,4,"(1, 0, 1, 24)",15247.260383950272,ok,
5,2,1,"(1, 0, 1, 24)",15247.328677102767,ok,
6,2,5,"(1, 0, 1, 24)",15252.4152828542,ok,
1,2,4,"(1, 0, 1, 24)",15253.42734382309,ok,
0,2,5,"(1, 0, 1, 24)",15253.704183835069,ok,
1,0,0,"(1, 0, 1, 24)",15253.956146844452,ok,
3,2,5,"(1, 0, 1, 24)",15254.622195340104,ok,
5,2,3,"(1, 0, 1, 24)",15257.297839514133,ok,
1,2,5,"(1, 0, 1, 24)",15257.862857871896,ok,
2,2,5,"(1, 0, 1, 24)",15257.93700917727,ok,
5,2,5,"(1, 0, 1, 24)",15260.82785228259,ok,
0,1,1,"(1, 0, 1, 24)",15261.80027621474,ok,
6,2,4,"(1, 0, 1, 24)",15262.444793482668,ok,
3,2,3,"(1, 0, 1, 24)",15262.923387868255,ok,
3,1,0,"(1, 0, 1, 24)",15265.85905093841,ok,
6,2,3,"(1, 0, 1, 24)",15265.885351015391,ok,
4,2,5,"(1, 0, 1, 24)",15266.890266008551,ok,
