,0
Appliances_lag24,0.08561288
Appliances_lag1,0.07465207
hour_sin,0.057917096
Appliances_rollmean3,0.057657953
hour_cos,0.050663162
Tdewpoint,0.047544196
T2,0.04550587
hour,0.042344596
Appliances_lag3,0.041723397
Appliances_lag48,0.03982845
T1,0.036784336
Appliances_rollmean6,0.034558576
dow,0.033443734
Appliances_rollstd3,0.029434154
T_out,0.028914388
Appliances_lag168,0.027972337
Appliances_lag2,0.027630033
dow_cos,0.026322529
Appliances_rollmean24,0.025973165
Appliances_rollstd24,0.025075084
Windspeed,0.023924483
dow_sin,0.023117045
is_weekend,0.021716228
RH_1,0.020748463
Appliances_rollstd6,0.019303251
Press_mm_hg,0.018702947
RH_out,0.017120905
RH_2,0.015808761
